2012-01-12 12:23:22 Notice: Notice (8): Undefined variable: FBloginlogoutUrl in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 203]
2012-01-12 12:23:22 Notice: Notice (8): Undefined variable: fbButtonClass in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 204]
2012-01-12 12:23:22 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-12 12:24:17 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-12 12:25:35 Notice: Notice (8): Undefined variable: FB_UserInfo in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 206]
2012-01-12 12:26:30 Notice: Notice (8): Undefined variable: FBloginlogoutUrl in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 208]
2012-01-12 12:26:30 Notice: Notice (8): Undefined variable: fbButtonClass in [/opt/lampp/htdocs/hireroutes/app/controllers/users_controller.php, line 209]
2012-01-12 12:26:30 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-12 12:27:42 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 11]
2012-01-12 12:30:19 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 13]
2012-01-12 12:31:24 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 13]
2012-01-12 12:34:17 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 13]
2012-01-12 12:35:07 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 13]
2012-01-12 12:38:13 Notice: Notice (8): Undefined variable: faceBookUserData in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 13]
2012-01-12 13:29:01 Notice: Notice (8): Undefined variable: fbButtonClass in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 8]
2012-01-12 13:29:12 Notice: Notice (8): Undefined variable: fbButtonClass in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 8]
2012-01-12 13:31:49 Notice: Notice (8): Undefined index: first_name in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 14]
2012-01-12 13:31:49 Notice: Notice (8): Undefined index: last_name in [/opt/lampp/htdocs/hireroutes/app/views/users/facebook_user.ctp, line 14]
